챕터명,사이트 링크,파일,연결 기출,시험 포인트 행,볼드 수,정답 선택지 완전 일치,정답 키워드 대조,키워드 대조율,부정형 문항,긍정형 문항,본문 정답 근거 대조,본문 대조율,누락 기출 ID,태그,검토 플래그
교류 아크 용접기 효율,/industrial-safety/written/electrical/welder-efficiency/,electrical/welder-efficiency.md,1,6,6,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
교류 아크 용접기 전격 방지기 설치,/industrial-safety/written/electrical/welder-shock-protector/,electrical/welder-shock-protector.md,5,10,10,1,5,1.000,2,3,3,1.000,,개념,부정형 2
과전류 전선 발화 단계,/industrial-safety/written/electrical/wire-ignition-stages/,electrical/wire-ignition-stages.md,1,6,8,1,1,1.000,0,1,1,1.000,,개념,
보일러 계측·부속장치,/energy-management/written/thermal-equipment/boiler-accessory-equipment/,energy-management/thermal-equipment/boiler-accessory-equipment.md,86,10,10,3,30,0.349,52,34,16,0.471,,개념,본문 정답 근거 대조 낮음 · 부정형 52
보일러 부대설비,/energy-management/written/thermal-equipment/boiler-auxiliary-equipment/,energy-management/thermal-equipment/boiler-auxiliary-equipment.md,74,11,11,7,22,0.297,39,35,16,0.457,,개념,본문 정답 근거 대조 낮음 · 부정형 39
보일러 자동제어와 인터록,/energy-management/written/thermal-equipment/boiler-control-systems/,energy-management/thermal-equipment/boiler-control-systems.md,69,15,15,18,32,0.464,19,50,30,0.600,,개념,부정형 19
보일러 효율·증발량·열정산,/energy-management/written/thermal-equipment/boiler-efficiency-heat-balance/,energy-management/thermal-equipment/boiler-efficiency-heat-balance.md,103,8,9,11,53,0.515,28,75,50,0.667,,계산,계산 직접 검토 · 부정형 28
연소·공기비·배기가스 계산,/energy-management/written/thermal-equipment/boiler-installation-combustion/,energy-management/thermal-equipment/boiler-installation-combustion.md,44,7,8,4,24,0.545,10,34,21,0.618,,계산,계산 직접 검토 · 부정형 10
열·증기·열역학 기초,/energy-management/written/thermal-equipment/boiler-operation-basics/,energy-management/thermal-equipment/boiler-operation-basics.md,92,14,13,18,29,0.315,14,78,36,0.462,,개념,본문 정답 근거 대조 낮음 · 부정형 14
보일러 기동·운전·정지,/energy-management/written/thermal-equipment/boiler-operation-maintenance/,energy-management/thermal-equipment/boiler-operation-maintenance.md,60,9,9,3,15,0.250,42,18,10,0.556,,절차,부정형 42
배관·이음쇠·밸브,/energy-management/written/thermal-equipment/boiler-piping-insulation/,energy-management/thermal-equipment/boiler-piping-insulation.md,100,14,13,14,39,0.390,24,76,30,0.395,,개념,본문 정답 근거 대조 낮음 · 부정형 24
보일러 안전장치,/energy-management/written/thermal-equipment/boiler-protection-devices/,energy-management/thermal-equipment/boiler-protection-devices.md,73,14,13,16,41,0.562,25,48,33,0.688,,절차,부정형 25
보일러 형식·구조·재료,/energy-management/written/thermal-equipment/boiler-types-construction/,energy-management/thermal-equipment/boiler-types-construction.md,142,13,12,15,53,0.373,50,92,44,0.478,,개념,본문 정답 근거 대조 낮음 · 부정형 50
보일러 수질관리,/energy-management/written/thermal-equipment/boiler-water-treatment/,energy-management/thermal-equipment/boiler-water-treatment.md,96,10,10,7,22,0.229,49,47,19,0.404,,개념,정답 키워드 대조 낮음 · 본문 정답 근거 대조 낮음 · 부정형 49
보일러 작업안전과 사고예방,/energy-management/written/thermal-equipment/boiler-work-safety/,energy-management/thermal-equipment/boiler-work-safety.md,34,11,11,4,16,0.471,26,8,5,0.625,,절차,부정형 26
버너·화격자·연소장치,/energy-management/written/thermal-equipment/burners-furnaces-atomization/,energy-management/thermal-equipment/burners-furnaces-atomization.md,62,11,11,7,27,0.435,29,33,19,0.576,,개념,부정형 29
통풍·연도·굴뚝,/energy-management/written/thermal-equipment/draft-flue-gas/,energy-management/thermal-equipment/draft-flue-gas.md,47,10,10,8,20,0.426,20,27,15,0.556,,계산,계산 직접 검토 · 부정형 20
에너지 관계법규와 검사 체계,/energy-management/written/thermal-equipment/energy-laws-and-inspection/,energy-management/thermal-equipment/energy-laws-and-inspection.md,167,13,12,14,65,0.389,45,122,69,0.566,,개념 법령,법령 직접 검토 · 부정형 45
집진·환경설비,/energy-management/written/thermal-equipment/environmental-pollution-control/,energy-management/thermal-equipment/environmental-pollution-control.md,31,8,8,3,16,0.516,13,18,13,0.722,,개념,부정형 13
연료 특성·발열량,/energy-management/written/thermal-equipment/fuel-properties/,energy-management/thermal-equipment/fuel-properties.md,83,15,14,13,32,0.386,37,46,15,0.326,,개념,본문 정답 근거 대조 낮음 · 부정형 37
난방부하·방열기 계산,/energy-management/written/thermal-equipment/heating-load-radiators/,energy-management/thermal-equipment/heating-load-radiators.md,45,7,7,1,16,0.356,12,33,13,0.394,,계산,본문 정답 근거 대조 낮음 · 계산 직접 검토 · 부정형 12
증기·온수·복사난방,/energy-management/written/thermal-equipment/heating-systems/,energy-management/thermal-equipment/heating-systems.md,114,13,12,10,31,0.272,50,64,47,0.734,,개념,부정형 50
보온·단열재,/energy-management/written/thermal-equipment/insulation-materials/,energy-management/thermal-equipment/insulation-materials.md,41,10,10,11,15,0.366,13,28,15,0.536,,개념,부정형 13
증기트랩·응축수 환수,/energy-management/written/thermal-equipment/steam-traps-condensate/,energy-management/thermal-equipment/steam-traps-condensate.md,25,8,8,8,17,0.680,8,17,13,0.765,,개념,부정형 8
인체측정·설계원칙,/industrial-safety/written/ergonomics/anthropometry-design/,ergonomics/anthropometry-design.md,4,6,6,1,3,0.750,1,3,2,0.667,,개념,부정형 1
음성통신 지수 — AI·SIL·PNC,/industrial-safety/written/ergonomics/articulation-index/,ergonomics/articulation-index.md,2,6,6,1,2,1.000,0,2,2,1.000,,개념,
가용도 (Availability),/industrial-safety/written/ergonomics/availability/,ergonomics/availability.md,1,6,7,0,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
양립성,/industrial-safety/written/ergonomics/compatibility/,ergonomics/compatibility.md,1,7,7,0,1,1.000,1,0,0,1.000,,개념,부정형 1
합성 소음,/industrial-safety/written/ergonomics/composite-noise/,ergonomics/composite-noise.md,1,6,6,0,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
C/R비 (Control-Response),/industrial-safety/written/ergonomics/cr-ratio/,ergonomics/cr-ratio.md,1,7,8,0,1,1.000,1,0,0,1.000,,개념,부정형 1
컷셋·패스셋·미니멀,/industrial-safety/written/ergonomics/cutset-pathset/,ergonomics/cutset-pathset.md,13,6,7,0,11,0.846,1,12,10,0.833,,개념,부정형 1
ECRS 원리,/industrial-safety/written/ergonomics/ecrs-principle/,ergonomics/ecrs-principle.md,1,7,7,1,1,1.000,0,1,1,1.000,,개념,
배타적 OR 게이트,/industrial-safety/written/ergonomics/exclusive-or-gate/,ergonomics/exclusive-or-gate.md,1,6,7,0,1,1.000,0,1,1,1.000,,개념,
FMEA,/industrial-safety/written/ergonomics/fmea/,ergonomics/fmea.md,7,6,6,0,4,0.571,3,4,3,0.750,,개념,부정형 3
FTA 수행 절차,/industrial-safety/written/ergonomics/fta-procedure/,ergonomics/fta-procedure.md,6,6,6,0,2,0.333,2,4,2,0.500,,절차,부정형 2
FTA 사상기호와 게이트 기호,/industrial-safety/written/ergonomics/fta-symbols/,ergonomics/fta-symbols.md,11,8,8,7,9,0.818,0,11,9,0.818,,개념,
유해·위험 방지계획서 작성 자격,/industrial-safety/written/ergonomics/hazard-prevention-plan-qualification/,ergonomics/hazard-prevention-plan-qualification.md,1,6,8,0,1,1.000,1,0,0,1.000,,개념 법령,법령 직접 검토 · 부정형 1
조도·휘도·반사율 관계,/industrial-safety/written/ergonomics/illuminance-luminance-reflectance/,ergonomics/illuminance-luminance-reflectance.md,1,6,6,1,1,1.000,0,1,1,1.000,,개념,
정보량 (엔트로피 H),/industrial-safety/written/ergonomics/information-entropy/,ergonomics/information-entropy.md,3,6,6,3,3,1.000,0,3,3,1.000,,계산,계산 직접 검토
휘도 (L),/industrial-safety/written/ergonomics/luminance/,ergonomics/luminance.md,2,7,7,1,1,0.500,1,1,1,1.000,,계산,계산 직접 검토 · 부정형 1
보전의 종류 5가지,/industrial-safety/written/ergonomics/maintenance-types/,ergonomics/maintenance-types.md,2,6,7,2,2,1.000,0,2,2,1.000,,개념,
인간-기계 시스템 설계 6단계,/industrial-safety/written/ergonomics/man-machine-system-design/,ergonomics/man-machine-system-design.md,5,6,6,1,4,0.800,2,3,3,1.000,,절차,부정형 2
MIL-STD-882B 발생빈도 분류,/industrial-safety/written/ergonomics/mil-std-882b-frequency/,ergonomics/mil-std-882b-frequency.md,1,6,6,0,1,1.000,0,1,1,1.000,,개념,
근골격계 유해요인 5종,/industrial-safety/written/ergonomics/msd-risk-factors/,ergonomics/msd-risk-factors.md,4,10,11,0,3,0.750,2,2,1,0.500,,개념,부정형 2
